role,current_load,availability,expertise_match,hours_remaining,experience_years,performance_score,department_match,suitability_score
doctor,3,1,0.37,0.7,24,0.8,0,60.72
doctor,3,0,0.977,7.34,10,0.714,1,53.03
doctor,5,0,0.661,0.16,25,0.99,1,34.17
nurse,1,0,0.157,0.41,14,0.817,0,32.16
nurse,1,1,0.122,11.12,16,0.798,1,74.64
doctor,0,1,0.469,11.58,13,0.742,1,81.8
nurse,0,0,0.345,9.26,5,0.978,1,48.68
doctor,0,1,0.438,8.76,8,0.782,1,79.95
nurse,0,1,0.493,2.42,7,0.843,1,74.06
nurse,5,0,0.392,7.49,25,0.732,1,35.29
nurse,3,1,0.308,10.88,1,0.768,1,55.99
nurse,5,1,0.356,11.31,22,0.766,1,61.86
nurse,0,0,0.494,1.78,24,0.711,1,46.81
doctor,0,1,0.954,7.11,23,0.928,0,100.0
nurse,5,1,0.502,10.02,6,0.909,1,55.44
doctor,3,1,0.313,8.82,18,0.977,1,69.91
doctor,3,0,0.433,11.59,5,0.97,1,39.07
nurse,2,1,0.173,11.28,25,0.702,0,75.21
doctor,1,1,0.172,3.9,20,0.81,1,71.69
nurse,3,1,0.691,5.84,8,0.889,1,66.53
nurse,0,1,0.21,0.29,17,0.713,1,67.3
doctor,4,1,0.668,3.22,3,0.751,1,58.55
doctor,5,1,0.29,1.68,10,0.963,1,50.43
nurse,4,1,0.251,0.06,4,0.939,1,42.74
nurse,5,1,0.312,6.94,22,0.798,0,62.52
nurse,5,1,0.133,9.93,12,0.99,1,48.62
doctor,4,0,0.847,11.63,10,0.797,1,48.93
nurse,1,0,0.326,2.08,1,0.833,0,34.02
doctor,0,1,0.313,2.97,16,0.748,0,72.56
doctor,1,1,0.829,0.58,22,0.891,0,75.63
nurse,1,1,0.686,0.85,23,0.983,1,79.46
doctor,1,1,0.53,9.85,8,0.972,0,79.52
nurse,3,0,0.364,0.28,2,0.778,1,25.19
nurse,4,0,0.714,6.82,3,0.997,1,38.36
doctor,0,1,0.636,9.01,25,0.771,1,93.67
doctor,5,1,0.587,8.12,20,0.872,1,72.0
nurse,4,1,0.872,9.48,13,0.979,1,70.93
doctor,4,1,0.695,1.21,7,0.828,0,58.85
doctor,1,1,0.754,10.36,22,0.944,1,84.34
nurse,3,0,0.428,5.91,13,0.822,1,40.51
doctor,4,1,0.783,5.24,12,0.993,1,70.96
nurse,4,0,0.826,2.6,15,0.836,1,43.89
nurse,2,1,0.375,3.33,4,0.839,1,64.65
nurse,3,0,0.283,8.22,13,0.973,1,41.49
doctor,0,1,0.542,1.81,21,0.925,1,81.26
nurse,1,0,0.489,10.96,23,0.931,1,58.6
doctor,2,1,0.298,2.74,17,0.927,0,67.02
doctor,1,1,0.215,1.06,25,0.877,1,65.38
doctor,4,1,0.206,4.21,2,0.891,1,49.06
nurse,5,1,0.585,9.56,10,0.978,1,58.87
nurse,3,1,0.425,2.88,19,0.861,1,62.73
nurse,0,1,0.775,0.49,5,0.804,1,78.02
